EXHAUST TEMP 1,EXHAUST TEMP 2,EXHAUST TEMP 3,EXHAUST TEMP 4,EXHAUST TEMP 5,EXHAUST TEMP 6,KW,AMP,FREQ,LO IN TEMP,CPW IN TEMP,CPW OUT TEMP,SCAV TEMP,FO TEMP,TC IN TEMP,TC OUT TEMP,LO PRESS,FO PRESS,CW PRESS,SCAV AIR PRESS,TC LO PRESS,Rack Index,AvgEGT
491.0,425,406,402,407.0,416.0,272,465,60,61,32,35,30.0,80,514,439,5.0,7.6,1.9,0.8,2.8,19.16,424.5
399.0,367,356,406,385.0,420.0,242,325,60,60,32,47,33.0,79,465,394,4.6,7.4,1.9,0.8,2.6,18.26,388.8333333333333
431.0,425,406,402,407.0,4016.0,232,408,60,61,32,35,33.0,80,516,439,5.0,7.6,1.9,0.8,2.98,17.96,1014.5
391.0,397,352,416,367.0,433.0,394,618,60,60,32,48,35.0,76,495,361,4.2,6.9,1.9,1.7,2.4,22.82,392.6666666666667
396.0,364,351,403,382.0,414.0,229,233,60,61,32,47,33.0,79,468,394,4.3,6.8,1.9,0.8,2.5,17.87,385.0
424.0,422,402,399,406.0,413.0,320,464,60,62,32,34,33.0,80,518,436,5.0,7.4,1.9,0.8,2.8,20.6,411.0
485.0,364,355,406,364.0,423.0,364,381,60,60,32,48,35.0,84,495,346,5.1,6.7,1.9,1.6,2.8,21.92,399.5
386.0,366,352,417,371.0,439.0,402,459,60,60,32,49,36.0,86,487,356,4.2,6.5,1.9,1.9,2.4,23.06,388.5
386.0,368,355,409,363.0,423.0,335,560,60,60,32,47,35.0,95,486,368,4.9,7.3,1.9,0.4,2.8,21.05,384.0
398.0,372,351,396,388.0,406.0,173,286,60,61,32,35,33.0,94,404,406,5.1,7.6,1.9,0.6,2.9,16.19,385.1666666666667
407.0,394,388,394,386.0,398.0,170,301,60,61,32,35,33.0,94,481,435,5.1,8.2,1.9,0.5,3.0,16.1,394.5
381.0,360,351,406,358.0,423.0,353,547,60,60,32,48,35.0,94,400,359,4.9,7.4,1.9,1.5,2.8,21.59,379.8333333333333
397.0,366,338,391,385.0,406.0,182,279,60,60,32,46,33.0,95,478,402,5.0,7.3,1.9,0.4,3.0,16.46,380.5
406.0,396,394,398,390.0,405.0,177,313,60,61,33,35,33.0,96,477,432,4.7,8.0,1.9,0.6,2.7,16.31,398.1666666666667
361.0,314,340,341,341.0,386.0,266,345,60,59,31,44,33.0,94,466,374,4.9,7.9,1.9,1.2,2.8,18.98,347.1666666666667
410.0,403,384,391,391.0,398.0,194,259,60,61,32,45,32.0,95,466,426,5.1,8.1,1.8,0.8,2.8,16.82,396.1666666666667
389.0,365,355,390,385.0,407.0,192,378,60,60,32,46,33.0,91,459,396,4.9,7.5,1.9,0.7,2.8,16.76,381.8333333333333
414.0,397,388,397,392.0,399.0,197,280,60,61,33,36,33.0,92,500,431,5.2,8.3,1.9,0.6,3.0,16.91,397.8333333333333
390.0,364,351,400,394.0,415.0,264,485,60,60,32,46,33.0,85,466,391,4.7,7.7,1.9,0.6,2.7,18.92,385.6666666666667
392.0,381,361,350,352.0,358.0,286,406,60,62,32,35,33.0,87,479,413,3.6,8.3,2.0,0.8,2.0,19.58,365.6666666666667
373.0,347,326,384,377.0,406.0,191,311,60,60,32,46,33.0,91,480,394,4.8,7.5,1.9,0.8,2.7,16.73,368.8333333333333
393.0,392,373,365,371.0,388.0,187,289,60,61,32,35,33.0,92,483,431,5.1,8.2,1.9,0.5,3.0,16.61,380.3333333333333
382.0,357,346,397,373.0,407.0,238,386,60,60,31,46,33.0,96,477,382,4.6,7.9,1.9,0.9,2.6,18.14,377.0
422.0,422,393,382,386.0,399.0,224,362,60,61,32,35,33.0,98,489,425,4.0,8.5,1.9,0.8,2.7,17.72,400.6666666666667
368.0,339,318,374,369.0,389.0,244,419,60,60,31,46,33.0,91,470,382,4.8,7.6,1.9,0.9,2.7,18.32,359.5
433.0,434,416,403,418.0,432.0,281,430,60,61,32,35,33.0,92,483,438,5.2,8.2,1.9,0.6,3.0,19.43,422.6666666666667
386.0,359,347,393,367.0,396.0,164,354,60,60,31,46,33.0,90,486,389,4.8,7.4,1.9,0.7,2.7,15.92,374.6666666666667
407.0,405,392,381,400.0,415.0,157,280,60,61,32,35,33.0,91,483,433,5.1,8.2,1.9,0.5,3.0,15.71,400.0
388.0,355,375,403,381.0,394.0,175,215,60,60,31,45,33.0,94,439,394,4.7,7.6,1.9,0.4,2.8,16.25,382.6666666666667
391.0,397,384,377,377.0,388.0,168,358,60,61,32,38,33.0,98,447,431,4.7,8.4,1.9,0.5,2.1,16.04,385.6666666666667
388.0,355,325,403,381.0,381.0,168,215,60,60,31,45,33.0,96,439,396,4.7,7.6,1.9,0.5,2.8,16.04,372.1666666666667
399.0,397,384,377,379.0,388.0,168,359,60,61,32,35,33.0,98,486,431,4.7,8.3,1.9,0.5,3.1,16.04,387.3333333333333
388.0,355,327,382,382.0,381.0,182,200,60,60,32,46,33.0,94,436,396,4.7,7.7,1.9,0.5,2.8,16.46,369.1666666666667
399.0,396,384,374,372.0,388.0,162,335,60,61,37,35,33.0,96,474,431,5.1,8.4,1.9,0.5,3.1,15.86,385.5
388.0,355,327,382,382.0,398.0,182,236,60,60,32,46,33.0,94,436,396,4.71,7.7,1.9,0.5,2.8,16.46,372.0
399.0,396,384,373,372.0,388.0,169,383,60,61,33,35,33.0,96,483,431,5.1,8.4,1.9,0.5,3.1,16.07,385.3333333333333
384.0,355,344,414,523.0,430.0,337,588,60,60,32,48,35.0,96,494,356,6.1,6.8,1.8,1.7,2.4,21.11,408.3333333333333
388.0,354,344,394,380.0,413.0,222,383,60,60,31,46,33.0,94,483,391,4.6,7.1,1.9,0.8,2.5,17.66,378.8333333333333
426.0,420,397,388,391.0,406.0,217,346,60,61,32,35,33.0,96,497,434,4.9,8.2,2.0,0.7,2.7,17.51,404.6666666666667
381.0,357,346,411,352.0,425.0,350,571,60,61,49,35,33.0,95,492,356,4.4,6.9,1.9,1.7,2.5,21.5,378.6666666666667
394.0,359,347,399,379.0,416.0,225,386,60,60,32,46,33.0,96,486,390,4.4,7.4,1.9,0.8,2.5,17.75,382.3333333333333
425.0,416,398,391,394.0,410.0,228,350,60,61,32,36,33.0,98,498,432,4.9,7.8,1.9,0.8,2.7,17.84,405.6666666666667
390.0,361,350,398,376.0,414.0,225,317,60,60,31,45,33.0,98,481,397,4.2,7.8,1.9,0.7,2.4,17.75,381.5
418.0,406,394,392,391.0,397.0,225,439,60,59,31,33,31.0,160,449,419,4.7,8.5,1.9,0.7,3.0,17.75,399.6666666666667
397.0,365,341,402,384.0,414.0,185,284,60,60,32,46,33.0,101,491,409,5.5,7.5,1.9,0.5,3.3,16.55,383.8333333333333
401.0,396,394,392,389.0,400.0,174,314,60,61,32,35,33.0,102,483,438,4.5,8.3,1.9,0.5,3.3,16.22,395.3333333333333
385.0,357,341,390,371.0,402.0,167,270,60,60,29,43,32.0,98,475,400,4.1,7.8,1.9,0.6,2.4,16.01,374.3333333333333
389.0,357,351,401,421.0,403.0,174,303,60,61,33,43,32.0,98,474,401,4.6,8.1,1.9,0.6,3.0,16.22,387.0
391.0,366,351,423,364.0,440.0,330,541,60,60,32,49,36.0,101,512,367,5.5,7.5,1.9,1.7,3.0,20.9,389.1666666666667
391.0,351,356,401,381.0,415.0,235,381,60,60,32,48,34.0,100,509,374,5.6,7.5,1.9,1.7,3.0,18.05,382.5
391.0,351,356,401,381.0,430.0,241,391,60,61,33,48,33.0,101,500,401,4.3,7.6,1.9,1.9,2.8,18.23,385.0
397.0,368,347,402,382.0,413.0,175,268,60,60,32,46,33.0,101,486,409,5.5,6.6,1.8,0.5,3.3,16.25,384.8333333333333
408.0,405,393,388,374.0,409.0,167,333,60,62,32,35,33.0,102,490,442,4.4,7.2,1.9,0.5,2.5,16.01,396.1666666666667
384.0,371,357,416,369.0,440.0,344,526,60,61,31,47,33.0,101,499,394,5.4,7.3,1.5,1.9,3.0,21.32,389.5
399.0,369,342,400,381.0,416.0,186,296,60,60,32,46,33.0,101,504,408,5.5,6.5,1.8,0.6,3.2,16.58,384.5
416.0,410,394,388,380.0,403.0,181,344,60,62,33,45,33.0,102,404,441,4.3,7.4,1.8,0.6,2.5,16.43,398.5
394.0,364,335,397,388.0,414.0,168,234,60,60,31,45,33.0,102,489,409,5.6,7.3,1.9,0.5,3.3,16.04,382.0
416.0,416,405,396,388.0,411.0,172,394,60,61,32,35,33.0,104,491,445,5.1,7.5,1.9,0.5,3.1,16.16,405.3333333333333
394.0,341,335,397,388.0,411.0,169,235,60,61,31,45,33.0,103,488,409,5.6,7.3,1.9,0.5,3.3,16.07,377.6666666666667
413.0,411,397,392,385.0,408.0,182,391,60,61,32,36,33.0,103,491,446,5.1,7.5,1.9,0.5,3.1,16.46,401.0
396.0,361,330,397,385.0,416.0,161,224,60,60,31,45,33.0,103,487,409,5.6,7.3,1.9,0.5,3.3,15.83,380.8333333333333
401.0,406,394,380,375.0,400.0,153,366,60,61,32,34,33.0,104,490,443,5.1,7.5,1.9,0.5,3.1,15.59,392.6666666666667
397.0,373,357,416,382.0,434.0,234,406,60,60,31,46,33.0,102,499,398,5.5,7.6,1.9,0.8,3.1,18.02,393.1666666666667
422.0,422,402,388,396.0,410.0,221,346,60,61,32,35,33.0,104,498,433,4.9,8.2,1.9,0.8,2.7,17.63,406.6666666666667
393.0,360,329,396,377.0,408.0,158,219,60,57,32,35,33.0,103,481,407,5.6,7.4,3.3,0.5,3.4,15.74,377.1666666666667
396.0,393,385,374,376.0,393.0,196,225,60,60,32,54,33.0,104,481,363,5.1,8.2,3.3,0.5,3.0,16.88,386.1666666666667
397.0,365,364,407,382.0,430.0,301,602,60,60,32,46,33.0,99,474,405,5.5,6.8,1.8,0.8,3.1,20.03,390.8333333333333
396.0,398,340,414,373.0,442.0,393,634,60,60,32,48,35.0,98,504,340,5.9,6.4,1.8,1.8,3.0,22.79,393.8333333333333
399.0,363,361,410,377.0,432.0,234,364,60,60,32,47,34.0,99,493,399,5.5,6.7,1.9,0.8,3.1,18.02,390.3333333333333
427.0,419,402,391,397.0,408.0,235,415,60,62,33,36,33.0,101,500,435,4.9,7.3,1.9,0.8,2.7,18.05,407.3333333333333
391.0,372,360,423,379.0,448.0,367,579,60,60,32,49,36.0,100,509,360,5.4,6.6,1.9,1.8,3.0,22.01,395.5
419.0,419,397,385,384.0,406.0,199,339,60,60,32,35,33.0,103,495,440,4.6,7.3,1.9,0.6,2.6,16.97,401.6666666666667
395.0,366,358,397,382.0,416.0,193,310,60,60,32,46,33.0,101,489,406,5.5,6.9,1.8,0.6,3.2,16.79,385.6666666666667
