iter	RMSE
0	37.45337871
1	36.53264156
2	35.73300065
3	34.94559188
4	34.1793424
5	33.45036702
6	32.80928489
7	32.1910242
8	31.52503029
9	30.93690421
10	30.4451334
11	29.9499127
12	29.41321098
13	28.90218145
14	28.46988655
15	28.10480344
16	27.74918819
17	27.40541363
18	27.07476505
19	26.729447
20	26.42733715
21	26.08820977
22	25.80083693
23	25.56842743
24	25.3271461
25	25.10128905
26	24.88075581
27	24.6728038
28	24.45278849
29	24.28403217
30	24.09131236
31	23.9444242
32	23.78208427
33	23.63925042
34	23.37702016
35	23.2588113
36	23.12325877
37	23.01533354
38	22.86909
39	22.64730194
40	22.5582693
41	22.32484097
42	22.17199821
43	21.95921015
44	21.87217256
45	21.78028569
46	21.64290445
47	21.56032101
48	21.38393874
49	21.30854377
50	21.24741417
51	21.07617297
52	20.91222775
53	20.78030717
54	20.70121154
55	20.52447604
56	20.4241461
57	20.36604636
58	20.21940466
59	20.08658073
60	20.02607942
61	19.9870689
62	19.93467801
63	19.8227924
64	19.76128562
65	19.72644276
66	19.6998574
67	19.6746905
68	19.61780285
69	19.57248934
70	19.53484822
71	19.47940556
72	19.35191395
73	19.31898577
74	19.27331084
75	19.24418775
76	19.20537605
77	19.17228111
78	19.15459067
79	19.00392705
80	18.86012215
81	18.83536414
82	18.70290598
83	18.6699065
84	18.52843191
85	18.49787561
86	18.45971799
87	18.43765286
88	18.40535798
89	18.36528285
90	18.33970032
91	18.31981679
92	18.27996057
93	18.26706137
94	18.26112152
95	18.24727786
96	18.23588484
97	18.22870225
98	18.19687926
99	18.06166058
100	18.03172102
101	18.0150639
102	17.98403215
103	17.97495381
104	17.94567325
105	17.92601609
106	17.91280045
107	17.88857339
108	17.88110624
109	17.87279632
110	17.82871263
111	17.75013441
112	17.73822444
113	17.72704535
114	17.70212599
115	17.68694004
116	17.64067064
117	17.6337401
118	17.62911182
119	17.60203855
120	17.59360523
121	17.56861698
122	17.55937864
123	17.48124985
124	17.47043517
125	17.37696682
126	17.36591847
127	17.35120615
128	17.27780328
129	17.27087352
130	17.14519371
131	17.13453108
132	17.12172607
133	17.10389629
134	17.08961587
135	17.08209574
136	17.07391067
137	17.05722881
138	17.03649688
139	16.99213499
140	16.8757584
141	16.86765582
142	16.74881445
143	16.73709379
144	16.7193766
145	16.6039851
146	16.59459826
147	16.53461293
148	16.44825348
149	16.44033015
150	16.33041376
151	16.21550676
152	16.20718598
153	16.19439677
154	16.18475099
155	16.07694233
156	16.07167975
157	16.02916316
158	16.01287351
159	15.90459821
160	15.90019518
161	15.88250116
162	15.78015982
163	15.77248105
164	15.66784861
165	15.66209994
166	15.56320833
167	15.55919816
168	15.55284773
169	15.5487444
170	15.54433631
171	15.5243467
172	15.42602653
173	15.38452116
174	15.37823338
175	15.28362527
176	15.19019453
177	15.09366845
178	15.07690064
179	14.98352706
180	14.95741431
181	14.94720101
182	14.84893783
183	14.8416486
184	14.83285179
185	14.79816823
186	14.78858741
187	14.77425673
188	14.68677147
189	14.62821015
190	14.56711875
191	14.47978414
192	14.38886286
193	14.38576812
194	14.34112467
195	14.25799948
196	14.24543353
197	14.24161686
198	14.15693532
199	14.07975174
200	14.05588309
201	13.97042208
202	13.89075945
203	13.86291689
204	13.85620031
205	13.82523035
206	13.77164431
207	13.69202667
208	13.61260291
209	13.58299294
210	13.54407925
211	13.47105952
212	13.46769252
213	13.44149532
214	13.37472636
215	13.35315866
216	13.33941331
217	13.29498884
218	13.25037125
219	13.20559871
220	13.20054404
221	13.18295013
222	13.17927574
223	13.14932331
224	13.08733498
225	13.06789807
226	13.03045743
227	13.02659344
228	12.99747617
229	12.99387536
230	12.92365016
231	12.91870285
232	12.89829039
233	12.8813303
234	12.86945497
235	12.86693888
236	12.86304201
237	12.82651042
238	12.80034971
239	12.72400647
240	12.64987684
241	12.64469067
242	12.63464898
243	12.63225198
244	12.61011675
245	12.58983816
246	12.56418545
247	12.50352686
248	12.47884186
249	12.46018177
250	12.39677712
251	12.38012185
252	12.3578488
253	12.29325864
254	12.28999269
255	12.22327443
256	12.21298554
257	12.15251314
258	12.0960944
259	12.09274595
260	12.03551216
261	12.00718975
262	11.94998712
263	11.94695032
264	11.93343355
265	11.90263445
266	11.90050245
267	11.89810455
268	11.89517089
269	11.88361569
270	11.82582659
271	11.806308
272	11.77935307
273	11.77679479
274	11.72582146
275	11.72309679
276	11.72073849
277	11.6575637
278	11.65487366
279	11.5951664
280	11.56855799
281	11.55035137
282	11.50129145
283	11.4958584
284	11.454112
285	11.42971582
286	11.40698759
287	11.35873461
288	11.31124926
289	11.30906947
290	11.28757558
291	11.25100793
292	11.23549862
293	11.20486795
294	11.18255019
295	11.16597538
296	11.16348621
297	11.16079612
298	11.13040665
299	11.08436713
300	11.05656917
301	11.0406782
302	11.02434483
303	11.01712066
304	10.99390268
305	10.98134386
306	10.95424637
307	10.93032825
308	10.88115619
309	10.86452625
310	10.86227668
311	10.84855044
312	10.78822834
313	10.77230124
314	10.77003145
315	10.75048881
316	10.71078548
317	10.68323291
318	10.66244978
319	10.62695515
320	10.58330269
321	10.57349278
322	10.56617306
323	10.54771324
324	10.54129965
325	10.50075132
326	10.4772999
327	10.44441691
328	10.38783332
329	10.37677693
330	10.37017281
331	10.34324049
332	10.32967364
333	10.3187249
334	10.31653682
335	10.2732364
336	10.23337078
337	10.19087695
338	10.15480399
339	10.10565106
340	10.07764784
341	10.06245527
342	10.04463206
343	10.0323549
344	9.994435722
345	9.975021468
346	9.964165381
347	9.93553171
348	9.933487322
349	9.920077167
350	9.918133384
351	9.891007888
352	9.878548341
353	9.877308679
354	9.859584786
355	9.849611294
356	9.817528867
357	9.805240506
358	9.768977905
359	9.767588141
360	9.750559451
361	9.715023552
362	9.680797134
363	9.652450499
364	9.617273696
365	9.595728815
366	9.582784272
367	9.557947895
368	9.516627414
369	9.494953479
370	9.478700548
371	9.46877918
372	9.436168619
373	9.433731809
374	9.416350221
375	9.39089831
376	9.356403415
377	9.355070822
378	9.337199183
379	9.321986635
380	9.295779456
