iter	RMSE
381	9.264073638
382	9.262696194
383	9.25343203
384	9.251714096
385	9.217447688
386	9.21501084
387	9.207445725
388	9.194988305
389	9.193098256
390	9.166177274
391	9.135592945
392	9.126436779
393	9.121258874
394	9.110406707
395	9.096444321
396	9.067442971
397	9.038266538
398	9.004323148
399	9.00332547
400	9.001122303
401	8.986365558
402	8.985234433
403	8.978300806
404	8.962727236
405	8.931947516
406	8.930219781
407	8.914229635
408	8.912903649
409	8.903996942
410	8.881067895
411	8.863914153
412	8.846652979
413	8.835711169
414	8.834797597
415	8.824651113
416	8.797444923
417	8.791837034
418	8.77165431
419	8.756067591
420	8.743815432
421	8.74288207
422	8.737608481
423	8.719027736
424	8.717567018
425	8.716837029
426	8.71552387
427	8.701792655
428	8.694259555
429	8.68429235
430	8.658384938
431	8.650160282
432	8.64887955
433	8.629240662
434	8.603817311
435	8.588280952
436	8.578456437
437	8.55385146
438	8.552730773
439	8.54093323
440	8.526110745
441	8.515685118
442	8.49327206
443	8.483284031
444	8.482190552
445	8.481436505
446	8.479823849
447	8.478752882
448	8.470063092
449	8.458664649
450	8.448700597
451	8.447869904
452	8.430799282
453	8.413659456
454	8.403134449
455	8.389366341
456	8.388079764
457	8.387349542
458	8.386547531
459	8.376753825
460	8.352385815
461	8.340559972
462	8.330852513
463	8.30056634
464	8.297337364
465	8.260232619
466	8.249146549
467	8.248198273
468	8.231123719
469	8.222058538
470	8.220824491
471	8.217159729
472	8.215979649
473	8.203245511
474	8.179637525
475	8.160777167
476	8.160169505
477	8.158899526
478	8.150152266
479	8.141223658
480	8.133716403
481	8.127910136
482	8.11738469
483	8.107838033
484	8.101276715
485	8.097906895
486	8.096349464
487	8.08371437
488	8.082622218
489	8.0705953
490	8.062231519
491	8.053318541
492	8.041928579
493	8.018018951
494	8.012314468
495	7.986071707
496	7.970420308
497	7.969378637
498	7.962551082
499	7.94155287
